|||||||DEATHS|OCCURRING IN-|||||
Ogden Provo.|400|34|34|45|41|34|27|34|28|39|30|21|33
Salt Lake City|164 Il|26|12|18|14|13|6|11|10|7|14|15|18
|1,503 Il|155|122|111|127|127|113|146|102|119|120|113|148
VERMONT. Barre|||||||||||||
Burlington|152|10|16|11|15|11|12|13|10|15|15|12|12
Rutland|390 Il|32|28|40|38|27|32|32|33|30|40|34|24
|202 Il|11|22 I|19|23|13|19|15|16|14|19|14|17
VIRGINIA. Alexandria Charlottesville|254|25|20|36|18|14|18|16|20|22|25|17|23
Danville|144 Il|11|12|17|11|6|16|9|10|14|15|9|14
Lynchburg.|325 Il|37|16|31|26|30|30|29|27|24|28|28|19
Newport News.|441 Il|46|34|44|31|36|33|34|30|36|48|29|40
Norfolk|400 Il|37|31 I|29|37|47|30|26|30|37|29|27|40
Petersburg.|1,565|Il 141|155 I|118|114|125|127|135|135|133|122|123|137
Portsmouth|576|46|43|51|55|45|56|49|44|48|44|42|53
Richmond Roanoke|728 Il|55|65|59|60|62|58|70|64|60|52|60|63
Staunton|2,567|258|200|216|206|211|242|223|172|187|213|218|221
|707|78|48|I 64|55|50|64|73|55|47|54|53|66
WASHINGTON.|251 Il|24|19|26|23|21|24|28|17|16|14|22|17
Aberdeen|||||||||||||
Bellingham Everett|143|12|11|14|11|12|8|10|7|12|16|16|14
Hoquiam|266 Il|24|27|13|26|23|32|17|19|20|23|21|21
Seattle|255 Il|20|27|26|24|18|16|17|13|24|24|24|22
|75 Il|9|6|8|9|10|1|7|5|1|5|6|8
Spokane Tacoma|2,889|253|220|289|276|258|210|232|196|190|223|235|257
Vancouver|1,315|123|107|111|123|110|106|78|97|98|120|122|120
Walla Walls Yakima|1,051 Il|103|89|102|95|85|85|73|79|70|87|81|102
|143 Il|10|13|12|16|10|9|13|12|17|6|12|13
WEST VIRGINIA.1|250 Il|22|25|19|20|29|16|10|23|17|23|22|24
|302|Il 28|23|26|19|19|21|34|27|19|30|27|29
Wheeling|||||||||||||
WISCONSIN.|869|94|82|76|81|72|45|75|64|63|70|73|74
Appleton|||||||||||||
Ashland|||||||||||||
Beloit|262|22|13|23|37|27|14|20|20|21|17|18|30
Eau Claire*|197|Il 20|11|24|19|16|12|12|14|29|15|10|15
Fond du Lac|204|II 23|21|16|15|15|12|21|14|12|15|21|19
Green Bay|322|II 36|24|35|27|18|20|26|29|24|22|25|36
Janesville|306|Il 26|30|23|25|23|23|24|28|20|31|21|32
Kenosha|||||||||||||
La Crosse|531|51|44|6G|48|34|39|41|46|44|43|38|37
|197|Il 26|21|16|11|14|19|18|15|16|14|9|18
Madison|323|Il 30|28|38|21|23|22|32|27|26|24|24|28
Manitowoc Marinette|524|Il 55|44|57|41|50|37|34|37|37|37|53|42
Milwaukee|426|31|34|50|29|40|33|34|42|26|39|35|33
Oshkosh|226|Il 23|11|22|19|24|18|18|21|20|22|12|16
Racine|155|Il 8|12|17|15|12|14|13|12|9|18|11|14
Sheboygan|4,587|"| 438"|393|443|396|410|316|351|352|377|373|376|362
Stevens Point|445|36|40|40|39|36|36|42|32|24|50|46|24
Superior|589|57|53|58|50|56|34|46|46|41|48|44|56
Waukesha|344|36|38|27|28|23|20|30|16|28|28|36|I 34
Wausau. West Allis|139|Il 6|11|1]|11|12|6|9|18|13|11|21|I 10
|446|30|37|46|48|27|29|32|29|40|50|43|35
1 Nonreg|140|10|17|12|11|8|14|5|8|11|15|12|17
|264|31|14|26|30|16|21|27|22|16|26|21|14
|127|I 8|12|8|10|9|6|11|14|13|14|13|9
||I|||||||||||

||||||WHITE.||||||||
||||||Native.||||||||
REGISTRATION AREA.|All deaths.|||||One foreign the|parent born, other-||Parentage unknown.|Foreign|Nativ-|Negro.|Japa- nese.|Other col- ored.
||Total.|Total.|Both parents native.|Both parents foreign born.|Native.|Un- known.|One parent un- known, the other native.|Both parents un- known.|born.|ity un- known.|||
SUMMARY. The registration area (exclusive of Hawaii)|1,032,009|910,573|692,750|408,685|138,363|51,927|7.116|34.991|51,668|205,185|12,638|116,922|1,335|3.179
||||||||||||||
Registration states 1|1.009.673|895,593|680,757|401.582|136,548|51.203|6.956|34.083|50,385|202,611|12,225|109,597|1,327|3.156
Cities in registration states|523,981|475,465|831,845|164,932|95,975|31,549|4.034|13.838|21,517|138,065|5.555|46,589|730|1.197
Rural part of registration states.|485,692|420,128|848,912|236,650|40,573|19,654|2.922|20.245|28,868|64,546|6,670|63,008*|597|-1,959
Registration cities in nonregistration states.|22,336|14,980|11,993|7.103|1.815|724|160|908|1.283|2,574|413|7.325|8|23
All registration cities 1|546,317|490,445|343,838|172,035|97,790|32,273|4.194|14,746|22,800|140,639|5,968|53,914|738|1.220
||||||||||||||
REGISTRATION STATES.||||||||||||||
California (total)|47,377|44,650|30,742|13,685|6,218|2,777|611|2.134|5,317|12,830|1,078|729|910|1.088
Cities|27,781|26,184|17.769|8.009|3.711|1.702|395|1.258|2,694|7,829|586|528|468|601
Rural districts|19,596|18.466|12,973|5,676|2.507|1.075|216|876|2,623|5,001|492|201|442|487
Colorado (total)|11,878|11,498|8,845|4,607|1.317|607|165|702|1,447|2,241|412|297|43|40
Cities.|5,505|5,275|3,988|1,987|638|307|88|318|650|1,109|178|203|17|10
Rural districts|6,378|6,223|4,857|2.620|679|300|77|384|797|1,132|234|94|26|30
Connecticut (total)|16,167|15,743|10,799|4.861|3.765|871|99|481|722|4,816|128|413||11
Cities|12,119|11,764|7,875|3.265|3.081|681|76|294|478|3,803|86|347||8
Rural districts|4,048|3,979|2,924|1,596|684|190|23|187|244|1,013|42|66||3
Delaware (total)|2,970|2,375|2,059|1,505|262|114|6|79|93|294|22|595||
Cities.|.1,361|1,166|936|571|211|76|5|29|44|229|1|195||
Rural districts:|1,609|1,209|1,123|934|51|38|1|50|49|65|21|400||
Florida (total) Cities|11,774|7.022|5,939|3,811|297|253|47|580|951|755|328|4,749|2|1
Rural districts|3,624|2,029|1,580|934|161|112|15|142|216|380|69|1,592|2|1
|8,150|4,993|4,359|2.877|136|141|32|438|735|375|259|3,157||
Illinois (total)||||||||||||||
Cities.|73,424|69,867|48,814|24,971|12,987|4,076|651|2.227|3,902|20,121|932|3,497|3|57
Rural districts.|45,051|42,260|26,976|11,004|9,955|2,774|420|974|1,849|14,760|524|2,735|3|53
|28,373|27.607|21,838|13,967|3.032|1.302|231|1.253|2,053|5,361|408|762||4
Indiana (total) Cities|35,220|33,685|30,295|21.376|2,652|1,317|330|2,227|2,393|3,083|307|1,535||
Rural districts|14,578|13,340|11,356|7,322|1,620|651|149|759|855|1,853|131|1,286||
|20,644|20,345|18,939|14,054|1,032|666|181|1,468|1,538|1,230|176|299||
Kansas (total) Cities.|18,106|17,051|14,380|8,679|1,165|767|197.|1,306|2,266|2,286|385|1,027||28
Rural districts|5,332|4,677|3,996|2,347|397|211|67|370|604|594|87|646||9
|12,774|12,374|10,384|6,332|768|556|130|936|1,662|1,692|298|881||19
Kentucky (total) Cities.|25,669|21,512|20,395|16,795|721|352|104|1,012|1,411|875|242|4,157||
Rural districts|6,411|4,951|4,250|2,818|512|196|61|233|430|618|83|1,460||
Louisiana (total)|19,258|16,561|16,145|13,977|209|156|43|779|981|257|159|2,697||
Cities.|20,103|10,355|9,020|5,993|965|533|61|534|934|1,049|286|9,722|2|24
Rural districts|8,660|5,094 Il|4,219|2,473|803|382|42|170|349|835|40|3,554|2|10
Maine (total)|11,443|5.261|4,801|3,520|162|151|19|364|585|214|246|6,168||14
Cities. Rural districts|10,815|10,789|9,041|6,593|907|878|26|247|390|1,653|95|18||8
|3,249|3.240|2,488|1,586|446|281|8|61|106|719|33|8||1
Maryland (total)|7,566 Il|7,549|6,553|5,007|461|597|18|186|284|934|62|10||7
Cities. Rural districts|19,980|15,135|12,914|8,995|1.575|754|137|632|821|2,048|173|4.836|1|8
|11,513|9.084|7,336|4,545|1.295|558|111|343|484|1,663|85|2,420|1|8
Massachusetts (total)|8,467|6,051|5,578|4,450|280|196|26|289|337|385|88|2,416||
Cities. Rural districts|47,787|46,899|31,055|14,774|10,218|3,437|255|1,214|1,157|15,626|218|848|4|41
|-||asicon|||-'||||-||||
|38,520|37,707|24,285|10,717|8,782|2,852|209|901|642|15,610|JOY|724|4|31
Michigan (total) Cities.|9,261|9,132|6,772|4,057|1,436|605|46|313|315|2,311|49|119||10
Rural districts|44,132|42,836|30,539|15,444|7,024|3,564|544|1,705|2,258|11,608|689|1,119|5|172
Minnesota|21,885|20,941|14,387|6,367|4,204|1,909|264|690|953|6,192|362|925|5|14
(total) Cities.|22,247|21,895|16,152|9,077|2,820|1,655|280|1,015|1,305|5,416|327|194||158
Rural districts|22,806|22,533|13,583|6,175|4,183|1,944|170|458|653|8,743|207|140|1|132
Mississippi (total)|9,793|9,654|6,067|2,665|1,930|867|82|233|290|3,496|91|128||11
Cities.|13,013|12,879|7,516|3,510|2,253|1,077|88|225|363|5,247|116|12|1|121
Rural districts|19,950|7,325|7,010|5,267|128|126|22|594|873|126|189|12,608||17
Missouri (total)|2,991|1,178|1,084|741|58|40|8|93|144|42|52|1,812||1
Cities.|16,959|6,147|5,926|4,526|70|86|14|501|729|84|137|10,796||16
Rural districts||||||||||||||
|37,071|33,661|28,376|17,841|3,030|1,369|391|2,330|3,415|4,423|862|3,390|1|19
Montana (total)|18,126|15,763|12,210|6,653|2,156|824|250|902|1,425|3,146|407|2,346|1|16
Cities.|18,945|17,898|16,166|11,188|874|545|141|1,428|1,990|1,277|455|1.044||3
Rural districts||||||||||||||
24 17|4,693|4,382|3,057|1,416|580|339|52|194|476|1.193|132|27|9|275
|1,426|1.383 Il|905 Il|381|235|104|15|58|112|449|29|22|1|20
|3,267 II|2,999 II|2,152|1,035|345|235|37|136|364|744|103|5|s.l|255

||||||WHITE.||||||||
||||||Native.||||||||
REGISTRATION AREA.|All deaths.|||||One foreign the|parent born, other-|Parentage unknown.||Foreign|Nativ-|Negro.|Japa- nese.|Other col-
||Total.|Total.|Both parents native.|Both parents foreign born.|Native.|Un- known.|One parent un- known, the other native.|Both parents un- known.|born.|ity un- known.|||ored.
REGISTRATION STATES-Contd.||||||||||||||
Nebraska (total)|12,017|11,702|8,673|4,973|1,322|731|157|560|930|2,822|207|211|3|101
Cities.|3,815|3,617|2,704|1,373|560|238|49|170|814|844|69|191|2|5
Rural districts||||||||||||||
|8,202 II|8,085 Il|5,969|3,600|762|493|108|390|616|1,978|138|20|1|96
New Hampshire (total) Cities.|6,102|6.094|4,658|2.609|660|410|42|297|640|1,241|195|7||1
Rural districts|2,648 II|2,644|1,880 I!|903|437|227|17|78|218|712|52|4||
|3,454|3.450|2,778|1,706|223|183|25|219|422|529|143|3||1
New Jersey (total) Cities.|37,928|85,593|24,858|13,263|7,733|2,218|246|599|799|10,503|282|2,322||13
Rural districts.|24,550|22,966|15.336|7.100|5,712|1,547|173|853|451|7,486|144|1,574||10
|13,378|12,627 Il|9,522 Il|6,163|2,021|671|73|246|348|3,017|88|748||3
New York (total) Cities.|130,394|126,419|84,340|40,486|29,001|8,700|649|2,347|3,157|41,256|823|3.734|33|208
districts.|97,781 II|94,266|lb 58,357 Il|24,056|24,660|6,636|433|1,077|1,495|35,365|544|3,325|32|158
|32,613 II|32,153 Il|25.983|16,430|4,341|2,064|216|1,270|1,662|5.891|279|"409 |"|1|50
North Carolina (total) Cities|29,454|18,100|17,677|15,157|61|88|11|1,244|1,116|127|296|11,199||155
Rural districts|5,160|Il 2,862|II 2,746|2,244|29|34|8|213|218|68|48|2,298||
|24,294|15,238|Il 14,931|12,913|32|54|3|1,031|898|59|248|8,901||155
Ohio (total)||||||||||||||
Cities|67,104|63,386|51,694|32,227|9,173|3,475|608|2,589|3,622|10,726|966|3,695|1|22
Rural districts|37,141|34,342 Il|25,965|14,120|6,621|2,142|348|1,117|1,617|7,939|438|2,776|1|22
|29,963|11 29,044|Il 25,729|18,107|2,552|1,333|260|1,472|2,005|2,787|528|919||
Oregon (total) Cities|8,304|8,076|6,112|3,273|668|436|118|590|1,027|1.739|225|37|46|145
Rural districts|3,776|3,647|2,606 Il|1,282|404|197|54|257|412|967|74|25|29|75
|4,528|4,429|3,506|1,991|264|239|64|333|615|772|151|12|17|70
Pennsylvania (total) Cities.|109,919|104,347|82,134|50,846|18,984|6,038|707|2,546|3,013|21,339|874|5,525|2|45
Rural districts|59,018|54,708|Il 40,297|22,383|11,318|3,502|398|1,160|1,536|13,969|442|4,268|1|41
Rhode Island (total)|50,901|49,639|Il 41,837|28,463|7,666|2,536|309|1,386|1,477|7,370|432|1,257|1|4
Cities.|7,756|7,547|4,914|2,350|1,769|563|27|77|128|2,582|51|205||4
Rural districts|6,469|6,290|II 4,000|1,754|1,561|481|24|68|112|2,254|36|175||4
South Carolina (total)|1,287|Il 1,257|IE 914|596|208|82|3|9|16|328|15|30||
Cities. Rural districts|20,877|8,206|7,986|6,698|80|81|20|529|578|134|86|12,168||3
|3,895|Il 1,732|II 1,635 Il|1,201|59|39|10|106|220|76|21|2,163||
Tennessee (total)|16,482|If 6,474|Il 6,351|5,497|21|42|10|423|358|58|65|10,005||3
Cities. Rural districts|25,219|18,032|17,154|13,410|175|151|35|1,675|1,708|348|530|7,184||3
|7,582|4,439|4,028|2,734|118|76|25|492|583|249|162|8,140||8
Utah (total)|17,637|13,593 II|13,126|10,676|57|75|10|1,183|1,125|99|368|4,044||
Cities||||||||||||||
Rural districts|4,783|4,636|3,375|1,990|666|463|23|90|143|1,205|56|27|51|69
|2,067|Il 2,010|Il 1,386 Il|722|299|198|14|47|106|580|44|22|25|10
Vermont (total)|2,716 Il|2,626|II 1,989|1,268|367|265|9|43|37|625|12|5|26|59
Cities.||||||||||||||
Rural districts|4,999|4,992|4,132|2,765|494|353|31|216|273|800|60|4||3
|744|742 Il|563|335|97|69|5|29|28|166|13|1||1
Virginia (total)|4,255|Il 4,250 Il|3,569|2,430|397|284|26|187|245|634|47|3||2
Cities||||||||||||||
Rural districts|28,534|17,225|16,559|13,903|271|295|29|918|1,143|483|183|11,282|6|21
Washington (total)|7,958|4,437|Il 4,111 Il|3,216|154|135|12|248|346|277|49|3,518 I|1|2
Cities|20,576|12,788 l'|12,448|10,687|117|160|17|670|797|206|134|7,764|5|19
Rural districts|13,254|12,653|9,022|4,982|1,422|943|148|547|980|3,308|323|134|204|263
Wisconsin (total)|6,639|Il 6,361|II 4,455 !1|2,405|798|505|76|260|411|1,761|145|93|135|50
Cities. Rural districts|6,615|Il 6,292|II 4,567 II|2,577|624|438|72|287|569|1,547|178|41|69|213
REGISTRATION CITIES.|27,552|27,302|17,356|7,934|5,733|1,981|209|462|1,037|9,678|268|81||139
|10,754|10,687|II 6,821|2,791|2,611|817|95|194|813|3,770|96|55||12
ALABAMA|16,798|16,615|10,535 Il|5,143|3,122|1,164|114|268|724|5,908|172|26||157
Birmingham||||||||||||||
Mobile||||||||||||||
Montgomery|2,725|1,286|1,168|895|56|41|2|94|80|97|21|1,438||1
CALIFORNIA.|1,036|It 555|Il 475 Il|331|66|43|2|12|21|78|2|480|1|
|714|278|Il 252 II|163|1|2|1|27|58|11|15|436||
Alameda||||||||||||||
Bakersfield||||||||||||||
Berkeley|290|288|182|80|40|26|3|6|27|104|2||2|
Eureka|379|Il 366 Il|287 If|146|39|20|4|16|62|65|14|2|3|8
Fresno|564|IF 553|II 394 Il|207|69|43|7|29|39|155|4|4|5|2
Glendale*|204|Il 196|Il 120 Il|55|19|6|3|8|29|74|2|||8
Long Beach|638 Il|573|If 443 Il|199|115|38|8|36|47|125|5|9|38|18
Los Angeles Oakland|381|330|268|138|29|20|7|28|46|60|2||1|
Pasadena|854|843 Il|699 Il|348|65|55|12|77|142|135|9|5|6|
|8,528 Il|7,995 If|5,584 Il|2,569|989|490|134|456|946|2,183|228|307|170|56
'N|2,356 II|2,235|Il 1,494 II|676|339|163|31|88|197|705|36|55|18|48
|692 Il|676|il 538 II|291 I|57|31|10|53|96|131|7|15||1

||||||WHITE.||||||||
||||||Native.||||||||
REGISTRATION AREA.|All deaths.|||||One foreign the|parent born, other-|unknown.|Parentage||Nativ-|Negro.|Japa- nese.|Other col-
||Total.||Roth|Both|||||Foreign horn|ity un-|||ored.
|||Total.|parents native.|parents foreign born.|Native.|Un- known.|One parent un- known, the other native.|Both parents un- known||known.|||
||||||||||||||
REGISTRATION CITIES-Continued|228|227|184|110|20|16|4|16|18|39|4|1||
CALIFORNIA-continued.|142|141 il|105 Il|45|28|12|2|9|9|36||1||
Pomona|337|316 Il|247 Il|139|41|.12|5|21|29|66 I|3|4|4|13
Richmond|1,083|953 Il|650 Il|263|149|58|11|47|122|283|20|16|68|46
Riverside.|378 Il|365 If|255 II|105|74|17|11|23|25|101|9|6|1|6
Sacramento||||||||||||||
San Bernardino|1,379|1,340|978|481|154|91|19|72|161|339|23|17|8|14
|7,031|6,578 Il|3,710 II|1,368|1,226|463|89|149|415|2,697|171|65|90|298
San Diego San Francisco|478|452 Il|318 II|149|67|28|6|27|41|126|8|1|9|16
San Jose.|201|200 II|167 Il|85|32|14|1|11|24|31|2|1||
Santa Ana.|260|245 Il|194 II|116|29|18|1|12|18|47|4|1|4|10
Santa Barbara|208|206|149|75|21|17|3|9|24|56|1|I||1
Santa Cruz|279 IF|274 Il|200 II|100|23|13|8|19|37|67|7|5||
Santa Monica|617 Il|516 Il|368 Il|170|62|30|7|33|66|131|17|7|40|54
Stockton*|238 Il|231 Il|169 Il|65|21|14|4|6|59|57|5|5||2
Vallejo Venice.|86 II|85 Il|66 Il|29|3|7|5|7|15|16|3||1|
COLORADO.|195|191|162|108|15|14|1|9|15|24|5|4||
Boulder|608 Il|571|475 If|277|52|34|8|37|67|87|9|34||3
Colorado Springs Denver|3,715|3,566|Il 2,614 Il|1,230|420|206|60|210|488|827|125|128|14|7
Greeley|159|157 Il|128 Il|67|12|11|3|14|21|28|1||2|
Pueblo|614|582|I 447 II|205|119|29|11|42|41|105|30|31|1|
Trinidad|214|208|162 1!|100|20|13|5|6|18|38|8|6||
CONNECTICUT.||||||||||||||
Ansonia|144|137|87|23|51|8|1|1|3|50||7||
Bridgeport|1,503|1,468|977|364|435|106|10|25|37|484|7|33||2
Bristol|170|169|Il 128 Il|48|56|14|1|3|6|37|4|1||
Danbury town|340|335|II 248 II|118|61|16|5|17|31|83|4|5||
Derby|153|149|II 96 Il|36|47|7|1|2|3|52|1|4||
East Hartford town Enfield town|86|85|54|36|10|1|1|3|3|31||1||
Fairfield town|112 Il|112|Il 84 Il|24|48|9||2|1|28||||
Greenwich town|84 Il|84|Il 54 li|25|19|2|-2|2|4|30||||
Hartford|264 II|253|Il 187 II|93|65|20|1|2|6|64|2|11||
Manchester town|1,828 Il|1,729|Il 1,159 Il|479|422|115|15|54|74|559 I|11|96|I|3
||||||||||||||
Meriden town||||||||||||||
Middletown town *|150|149|88|40|33|7||3|5|61||1||
Milford town||||||||||||||
Naugatuck|410 II|407|Il 264 Il|115|95|20|2|13|19|141|2|3||
|470|465 Il|295 Il|123|103|26|6|14|23|162|8|5||
New Britain|127 il|125 Il|95 Il|65|13|8||5|4|30||2||
New Haven|102 Il|101 il|65 Il|30|23|5|1|4|2|36||1||
New London||||||||||||||
Norwallr.|553|548|356|105|209|27|3|4|8|187|5|4||1
Norwich town|1,933|1,853|1,189 ID|426|531|98|10|50|74|647|17|79||1
Orange town|356|345|239|129|62|18|2|8|20|101|5|10||1
Stamford town|378 li|367 Il|266 II|164|58|21|4|11|8|99|2|11||
Stonington town|478|464|311|-138|122|25|1|10|15|151|2|14||
Stratford town|263|252|185|65|27|19|3|12|59|65|2|11||
Torrington town|542 II|516 Il|362 Il|158|141|36|2|12|13|148|6 F|26||
Wallingford town|102 Il|101 Il|77 II|46|20|3||4|4|23|1|1||
Waterbury Windham town|99 Il|95 Il|76 Il|42|26|4||3|1|19||4||
DELAWARE.|184|182|118|44|45|11|1|6|11|64||2||
|126 Il|126 Il|83 Il|42|24|6||6|5|42|1|||
Wilmington|931 II|917 Il|580 Il|220|284|39|3|12|22|334|3 I|14||
DISTRICT OF COLUMBIA.|231|230 Il|152 If|67|51|10|1|6|17|75|"3 |"|1||
Washington||||||||||||||
|1,361|1,166|936|571|211|76|5|29|44|229|1|195||
FLORIDA.||||||||||||||
Jacksonville||||||||||||||
Key West|6,055|3,965|3,250|-1,928|342|199|28|141|612|550|165|2.080||10
Miami||||||||||||||
Pensacola||||||||||||||
St. Petersburg|1,463|640|563|371|37|24|4|55|72|65|12|821|2|
Tampa|265|175 Il|94|36|27|20|1|3|7|79|2|90||
|525|308 Il|236|142|15|21|3|23|32|48|24|217||
|409|229 Il|192 Il|111|12|12||12|45|28|9|180||
|267 695|206 471|167 328|87 187|15 55|7 28|5 2|28 21|25 35|30 130|9 13|61 223||1

||||||WHITE.||||||||
||||||Native.||||||||
REGISTRATION AREA.|All deaths.|||||One foreign the|parent born, other-|Parentage unknown.|||Nativ-|Negro.|Japa- nese.|Other col- ored.
