|||||||DEATHS|OCCURRING|IN-||||
||Jan.|Feb.|Mar.|Apr.|May.|June.|July.|Aug.|Sept.|Oct.|Nov.|Dec.
REGISTRATION CITIES-Continued|||||||||||||
TENNESSEE.|||||||||||||
Chattanooga|923|92|73|76|73|80|83||||||
Jackson|299|18|25|23||||74|71|70|73|80|78
Johnson City *|314|21|||22|27|22|31|17|20|29|31|34
Knoxville|||32|25|28|35|26|25|25|21|24|21|31
Memphis|1,192|97|105|83|99|126|129|111|78|83|99|100|82
|2,876|240|220|232|214|249|244||||||
Nashville||185||||||253|214|236|273|228|273
|1,978||161|179|152|152|157|179|165|135|180|163|170
TEXAS.1|||||||||||||
|||||||||||||
Beaumont|455|44|31|39|46|48|||||||
Dallas|1, 985|177|150||||44|35|28|36|50|31|23
El Paso||189||156|153|159|149|181|178|136|178|177|191
Galveston|2,086||168|214|220|224|187|206|176|112|123|118|149
Houston|656|62|47|57|56|68|49|60|50|48|42|56|61
|,851|145|147|141|169|152|159|162|164|134|||
San Antonio|,678|228|||||||||185|143|150
|||223|251|288|237|190|211|202|223|178|218|229
UTAH.|||||||||||||
|||||||||||||
Ogden|400|34|34|45|||||||||
Provo|164|26|12||41|34|27|34|28|39|30|21|33
Salt Lake City|503|155|122|18|14|13|6|11|10|7|14|15|18
||||111|127|127|113|146|102|119|120|113|148
VERMONT.|||||||||||||
Barre|152|10|||||||||||
Burlington|390|32|16 28|11 40|15|11|12|13|10|15|15|12|12
Rutland|202|11|22|19|38|27|32|32|33|30|40|34|24
|||||23|13|19|15|16|14|19|14|17
VIRGINIA.|||||||||||||
Alexandria|254|25|20|36|||||||||
Charlottesville|144|11|12||18|14|18|16|20|22|25|17|23
Danville|325|37|16|17|11|6|16|9|10|14|15|9|14
Lynchburg|441|46|34|31 44|26|30|30|29|27|24|28|28|19
Newport News|400|37|31|29|31 37|36 47|33|34|30|36|48|29|40
Norfolk|1,565|141|155|118|114|125|30|26|30|37|29|27|40
|||||||127|135|135|133|122|123|137
Petersburg|576|46|43|51|55||||||||
Portsmouth|728|55|65|||45|56|49|44|48|44|42|53
Richmond|2,567|258||59|60|62|58|70|64|60|52|60|63
Roanoke|707||200 78 48|216|206|211|242|223|172|187|213|218|221
Staunton|251||24|64|55|50|64|73|55|47|54|53|66
||||19|26 23|21|24|28|17|16|14|22|
|||||||||||||17
WASHINGTON.|||||||||||||
Aberdeen|143||12||||||||||
Bellingham|266||24|11|14 11|12||8 10||7 12|16|16|14
Everett|255||20|27 27|13|26 23||32 17|19|20|23|21|21
Hoquiam||75|9|6|26|24|18|16 17|13|24|24|24|22
Seattle|2,839||253|220|8 289|9|10|1|7|5|1|5|6 8
|||||276|258|210|232|196|190|223|235|
Spokane|||||||||||||257
Tacoma|1,315||123|107|111 123|110||106|78|97|98 120|122|
Vancouver|1,051|143|103 10|89|102|95|85|85|73|79|70|87 81|120 102
Walla Walla||250|22|13|12|16|10|9|13|12|17|6|12 13
Yakima||302|28|25|19|20|29|16|10|23|17|23|22 24
||||23|26|19|19|21|||||
WEST VIRGINIA.|||||||||34|27|19|30|27 29
Wheeling||869|94|82|76|81|72||||||
||||||||45|75|64|63|70|73 74
WISCONSIN.|||||||||||||
Appleton||262|22||||||||||
Ashland||197|20|13|23|37|27|14|20|20|21|17|18
Beloit||204||11|24|19|16|12|12|14|29|15|30
Eau Claire*||322|23|21|16|15|15|12|21|14|12|15|10 15
Fond du Lac|||36|24|35|27|18|20|26|29|24||21 19
||306|26|30|23|25|23|23|24|28|20|22|25 36
Green Bay||531||||||||||31|21 32
Janesville|||51|44|6G|48|34||||||
||197|26|21||||39|41|46|44|43|38 37
Kenosha||323|30||16|11|14|19|18|15|16|14|9
La Crosse||||28|38|21|23|22|32||||18
||524|55|44|57|41|50|37|34|27 37|26|24|24 28
Madison||426|31||||||||37|37|53 42
Manitowoc||226||34|50|29|40|33|34|42|26|39|
Marinette||155|23|11|22|19|24|18|18|21|20|22|35 33
Milwaukee|||8|12|17|15|12|14|13|12|||12 16
|4,|,587|438|393|||||||9|18|11 14
|||||443|396|410|316|351|352|377|373|
Oshkosh|||||||||||||376 362
Racine||445 589|36|40|40|39|36|36|42|32|24||
Sheboygan|||57|53|58|50|56|34|46|46|41|50|46 24
Stevens Point||344|36|38|27|28|23|20|30|||48|44 56
||139|6|11|11|11|12|6|9|16 18|28|28|36 34
Superior|||||||||||13|11|21 10
Waukesha||446 140|30|37|46|48|27|29|32|29|||
Wausau|||10|17|12|11|8|14|5||40|50|43 35
West Allis||264|31|14|26|30|16|21|27|8 22|11|15|12 17
||127|8|12|8|10|9|6|11|14|16|26|21 14
|||||||||||13|14|13 9
|||||||||||||

||||||WHITE.||||||||
||||||Native.||||||||
REGISTRATION AREA.|All deaths.|||||One foreign the|parent born, other-||Parentage unknown.|Foreign|Nativ-|Negro.|Japa- nese.|Other col- ored.
||Total.|Total.|Both parents native.|Both parents foreign born.|Native.|Un- known.|One parent un- known, the other native.|Both parents un- known.|born.|ity un- known.|||
SUMMARY.||||||||||||||
The registration area (exclusive of Hawaii)|1,032,009|910,573|692,750|408,685|138,363|51,927|7,116|34,991|51,668|205,185|12,638|116,922|1,335|3,179
Registration states 1|1,009,673|895,593|680,757|401,582|136,548|51,203|6,956|34,083|50,385|202,611|12,225|109,597|1,327|3,156
Cities in registration states|523,981|475,465|331,845|164,932|95,975|31,549|4,034|13,838|21,517|138,065|||730|
Rural part of registration states|485,692|420,128|348,912|236,650|40,573|19,654|2,922|20,245|28,868|64,546|5,555 6,670|46,589 63,008|597|1,197 -1,959
Registration cities in nonregistration states|22,336|14,980|11,993|7,103|1,815|724|160|908|1,283|2,574|413|7,325|8|23
All registration cities|546,317|490,445|343,838|172,035|97,790|32,273|4,194|14,746|22,800|140,639|5,968|53,914|738|1,220
REGISTRATION STATES. California (total)|47,377|44,650|30,742|13,685|6,218|2,777|611|2,134|5,317|12,830|1,078|729|910|1,088
Cities.|27,781|26,184|17,769|8,009|3,711|1,702|395|1,258|2,694|7,829|586|528|468|601
Rural districts|19,596|18,466|12,973|5,676|2,507|1,075|216|876|2,623|5,001|492|201|442|487
Colorado (total)|11,878|11,498|8,845|4,607|1,317|607|165|702|1,447|2,241|412|297|43|40
Cities.|5,505|5,275|3,988|1,987|638|307|88|318|650|1,109|178|203|17|10
Rural districts|6,373|6,223|4,857|2,620|679|300|77|384|797|1,132|234|94|26|30
Connecticut (total)|16,167|15,743|10,799|4,861|3,765|871|99|481|722|4,816|128|413||11
Cities.|12,119|11,764|7,875|3,265|3,081|681|76|294|478|3,803|86|347||8
Rural districts|4,048|3,979|2,924|1,596|684|190|23|187|244|1,013|42|66||3
Delaware (total)|2,970|2,375|2,059|1,505|262|114|6|79|93|294|22|595||
Cities.|1,361|1,166|936|571|211|76|5|29|44|229|1|195||
Rural districts:|1,609|1,209|1,123|934|51|38|1|50|49|65|21|400||
Florida (total)|11,774|7,022|5,939|3,811|297|253|47|580|951|755|328|4,749|2|1
Cities|3,624|2,029|1,580|934|161|112|15|142|216|380|69|1,592|2|1
Rural districts|8,150|4,993|4,359|2,877|136|141|32|438|735|375|259|3,157||
Illinois (total)|73,424|69,867|48,814|24,971|12,987|4,076|651|2,227|3,902|20,121|932|3,497|3|57
Cities.|45,051|42,260|26,976|11,004|9,955|2,774|420|974|1,849|14,760|524|2,735|3|53
Rural districts|28,373|27,607|21,838|13,967|3,032|1,302|231|1,253|2,053|5,361|408|762||4
Indiana (total)|35,220|33,685|30,295|21,376|2,652|1,317|330|2,227|2,393|3,083|307|1,535||
Cities|14,576|13,340|11,356|7,322|1,620|651|149|759|855|1,853|131|1,236||
Rural districts|20,644|20,345|18,939|14,054|1,032|666|181|1,468|1,538|1,230|176|299||
Kansas (total)|18,106|17,051|14,380|8,679|1,165|767|197|1,306|2,266|2,286|385|1,027||28
Cities|5,332|4,677|3,996|2,347|397|211|67|370|604|594|87|646||9
Rural districts|12,774|12,374|10,384|6,332|768|556|130|936|1,662|1,692|298|381||19
Kentucky (total)|25,669|21,512|20,395|16,795|721|352|104|1,012|1,411|875|242|4,157||
Cities.|6,411|4,951|4,250|2,818|512|196|61|233|430|618|83|1,460||
Rural districts|19,258|16,561|16,145|13,977|209|156|43|779|981|257|159|2,697||
Louisiana (total)|20,103|10,355|9,020|5,993|965|533|61|534|934|1,049|286|9,722|2|24
Cities.|8,660|5,094|4,219|2,473|803|382|42|170|349|835|40|3,554|2|10
Rural districts|11,443|5,261|4,801|3,520|162|151|19|364|585|214|246|6,168||14
Maine (total)|10,815|10,789|9,041|6,593|907|878|26|247|390|1,653|95|18||8
Cities|3,249|3,240|2,488|1,586|446|281|8|61|106|719|33|8||1
Rural districts|7,566|7,549|6,553|5,007|461|597|18|186|284|934|62|10||7
Maryland (total)|19,980|15,135|12,914|8,995|1,575|754|137|632|821|2,048|173|4,836|1|8
Cities.|11,513|9,084|7,336|4,545|1,295|558|111|343|484|1,663|85|2,420|1|8
Rural districts|8,467|6,051|5,578|4,450|280|196|26|289|337|385|88|2,416||
Massachusetts (total)|47,787|46,899|31,055|14,774|10,218|3,437|255|1,214|1,157|15,626|218|843|4|41
Cities|38,526|37,767|24,283|10,717|8,782|2,832|209|901|842|13,315|169|724|4|31
Rural districts|9,261|9,132|6,772|4,057|1,436|605|46|313|315|2,311|49|119||10
Michigan (total)|44,132|42,836|30,539|15,444|7,024|3,564|544|1,705|2,258|11,608|689|1,119|5|172
Cities.|21,885|20,941|14,387|6,367|4,204|1,909|264|690|953|6,192|362|925|5|14
Rural districts|22,247|21,895|16,152|9,077|2,820|1,655|280|1,015|1,305|5,416|327|194||158
Minnesota (total)|22,806|22,533|13,583|6,175|4,183|1,944|170|458|653|8,743|207|140|1|132
Cities.|9,793|9,654|6,067|2,665|1,930|867|82|233|290|3,496|91|128||11
Rural districts|13,013|12,879|7,516|3,510|2,253|1,077|88|225|363|5,247|116|12|1|121
Mississippi (total)|19,950|7,325|7,010|5,267|128|126|22|594|873|126|189|12,608||17
Cities|2,991|1,178|1,084|741|58|40|8|93|144|42|52|1,812||1
Rural districts|16,959|6,147|5,926|4,526|70|86|14|501|729|84|137|10,796||16
Missouri (total)|37,071|33,661|28,376|17,841|3,030|1,369|391|2,330|3,415|4,423|862|3,390|1|19
Cities.|18,126|15,763|12,210|6,653|2,156|824|250|902|1,425|3,146|407|2,346|1|16
Rural districts|18,945|17,898|16,166|11,188|874|545|141|1,428|1,990|1,277|455|1,044||3
Montana (total)|4,693|4,382|3,057|1,416|580|339|52|194|476|1,193|132|27|9|275
Cities|1,426|1,383|905|381|235|104|15|58|112|449|29|22|1|20
Rural districts|3,267|2,999|2,152|1,035|345|235|37|136|364|744|103|5|8|255

||||||WHITE.||||||||
||||||Native.||||||||
|All|||||One foreign the|parent born, other-|Parentage unknown.||Foreign|Nativ- ity un-|Negro.|Japa- nese.|Other col- ored.
REGISTRATION AREA.|deaths.|Total.|Total.|Both parents native.|Both parents foreign born.|Native.|Un- known.|One parent un- known, the other native.|Both parents un- known.|born.|known.|||
REGISTRATION STATES-Contd.|||||||157|560|930|2,822|207|211|3|101
|12,017|11,702|8,673|4,973|1,322|731|49|170|314|844|69|191|2|5
Nebraska (total)|3,815|3,617|2,704|1,373|560|238|108|390|616|1,978|138|20|1|96
Cities.||8,085|5,969|3,600|762|493||||||||
Rural districts|8,202||||||42|297|640|1,241|195|7||1
|6,102|6,094|4,658|2,609|660|410||78|218|712|52|4||
New Hampshire (total)|2,648|2,644|1,880|903|437|227|17|219|422|529|143|3||1
Cities.|3,454|3,450|2,778|1,706|223|183|25|||||||
Rural districts|||||||246|599|799|10,503|232|2,322||13
|37,928|35,593|24,858|13,263|7,733|2,218||353|451|7,486|144|1,574||10
New Jersey (total)|24,550|22,966|15,336|7,100|5,712|1,547|173 73|246|348|3,017|88|748||3
Cities|13,378|12,627|9,522|6,163|2,021|671||||||||
Rural districts|||||||||3,157|41,256|823|3,734|33|208
|130,394|126,419|84,340|40,486|29,001|8,700|649|2,347|1,495|35,365|544|3,325|32|158
New York (total)||94,266|58,357|24,056|24,660|6,636|433|1,077|||279|409|1|50
Cities.|97,781||25,983|16,430|4,341|2,064|216|1,270|1,662|5,891||||
Rural districts|32,613|32,153|||||||1,116|127|296|11,199||155
|29,454|18,100|17,677|15,157|61|88|11|1,244 213|218|68|48|2,298||
North Carolina (total)||||2,244|29|34|8|||||||155
Cities.|5,160|2,862|2,746|12,913|32|54|3|1,031|898|59|248|8,901||
Rural districts|24,294|15,238|14,931|||||||10,726|966|3,695|1|22
|67,104|63,386|51,694|32,227|9,173|3,475|608|2,589|3,622|7,939|438|2,776|1|22
Ohio (total)||34,342|25,965|14,120|6,621|2,142|348|1,117|1,617|||919||
Cities.|37,141|29,044|25,729|18,107|2,552|1,333|260|1,472|2,005|2,787|528|||
Rural districts|29,963|||||||590|1,027|1,739|225|37|46|145
|8,304|8,076|6,112|3,273|668|436|118||412|967|74|25|29|75
Oregon (total)|||||404|197|54|257||||||
Cities.|3,776|3,647|2,606|1,282||239|64|333|615|772|151|12|17|70
Rural districts|4,528|4,429|3,506|1,991|264||||||874|5,525|2|45
|109,919|104,347|82,134|50,846|18,984|6,038|707|2,546|3,013|21,339 13,969|442|4,268|1|41
Pennsylvania (total)|||40,297|22,383|11,318|3,502|398|1,160|1,536|||||4
Cities.|59,018|54,708||28,463|7,666|2,536|309|1,386|1,477|7,370|432|1,257|1|
Rural districts|50,901|49,639|41,837||||||||51|205||4
|7,756|7,547|4,914|2,350|1,769|563|27|77|128|2,582|36|175||4
Rhode Island (total)||||1,754|1,561|481|24|68|112|2,254||||
Cities.|6,469|6,290|4,000||208|82|3|9|16|328|15|30||
Rural districts|1,287|1,257|914|596||||||134|86|12,168||3
|20,377|8,206|7,986|6,698|80|81|20|529|578|||||
South Carolina (total)|||1,635|1,201|59|39|10|106|220|76|21|2,163||3
Cities.|3,895|1,732|6,351|5,497|21|42|10|423|358|58|65|10,005||
Rural districts|16,482|6,474||||||||||||3
||18,032|17,154|13,410|175|151|35|1,675|1,708|348|530|7,184||3
Tennessee (total)|25,219||4,028|2,734|118|76|25|492|583|249|162|3,140||
Cities.|7,582|4,439|||57|75|10|1,183|1,125|99|368|4,044||
Rural districts|17,637|13,593|13,126|10,676||||||||||
|||3,375|1,990|666|463|23|90|143|1,205|56|27|51|69
Utah (total)|4,783|4,636|1,386|722|299|198|14|47|106|580|44|22|25|10
Cities|2,067|2,010||1,268|367|265|9|43|37|625|12|5|26|59
Rural districts|2,716|2,626|1,989|||||||||||3
|||4,132|2,765|494|353|31|216|273|800|60|4||
Vermont (total)|4,999|4,992 742|563|335|97|69|5|29|28|166|13|1||1
Cities|744||3,569|2,430|397|284|26|187|245|634|47|3||2
Rural districts|4,255|4,250||||||||||||
||||13,903|271|295|29|918|1,143|483|183|11,282|6|21
Virginia (total)|28,534|17,225|16,559||154|135|12|248|346|277|49|3,518|1|2
Cities|7,958|4,437|4,111|3,216|117|160|17|670|797|206|134|7,764|5|19
Rural districts|20,576|12,788|12,448|10,687||||||||||
|||9,022|4,982|1,422|943|148|547|980|3,308|323|134|204|263
Washington (total)|13,254|12,653||||505|76|260|411|1,761|145|93|135|50
Cities|6,639|6,361|4,455|2,405|798||72|287|569|1,547|178|41|69|213
Rural districts|6,615|6,292|4,567|2,577|624|438||||||||
Wisconsin (total)|27,552|27,302|17,356|7,934|5,733|1,981 817|209 95|462 194|1,037 313|9,678 3,770|268 96|81 55||169 12
Cities.|10,754|10,687|6,821|2,791|2,611||114|268|724|5,908|172|26||157
Rural districts|16,798|16,615|10,535|5,143|3,122|1,164||||||||
REGISTRATION CITIES.||||||||||||||
ALABAMA.1||||||||||||||
Birmingham|2,725|1,286|1,168|895|56|41|2|94|80 21|97 78|21 2|1,438 480|1|1
Mobile|1,036|555|475|331|66 1|43 2|2 1|12 27|58|11|15|436||
Montgomery|714|278|252|163||||||||||
CALIFORNIA.|||||||||||||2|
Alameda|290|288|182|80|40|26|3|6|27|104|2|2|3|8
Bakersfield|379|366|287|146|39|20|4|16|62|65 155|14 4|4|5|2
Berkeley|564|553|394|207|69|43|7|29 8|39 29|74|2|||8
Eureka|204|196|120|55|19|6|3|36|47|125|5|9|38|18
Fresno|638|573|443|199|115|38|8|||||||
Glendale*|331|330|268|138|29|20|7|28|46|60|2||1 6|
Long Beach|854|843|699|348|65|55|12|77|142|135|9 228|5 307|170|56
Los Angeles|8,528|7,995|5,584|2,569|989|490|134|456|946|2,183||||
Oakland|2,356|2,235|1,494|676|339|163|31|88|197|705|36|55|18|48 1
Pasadena|692|676|538|291|57|31|10|53|96|131|7|15||

||||||WHITE.||||||||
||||||Native.||||||||
REGISTRATION AREA.|All deaths.|||||One foreign the|parent born, other-|unknown.|Parentage||Nativ-|Negro.|Japa- nese.|Other col-
||Total.|Total.|Both parents native.|Both parents foreign born.|Native-|Un- known.|One parent un- known, the other native.|Both parents un- known.|Foreign born.|ity un- known.|||ored.
REGISTRATION CITIES-Continued. CALIFORNIA-continued.||||||||||||||
Pomona|228|227|184|110|20|16|4|16|18|39|4|1||
Richmond|142|141|105|45|28|12|2|9|9|36||1||
Riverside|337|316|247|139|41|12|5|21|29|66|3|4|4|13
Sacramento|1,083|953|650|263|149|58|11|47|122|283|20|16|68|46
San Bernardino|378|365|255|105|74|17|11|23|25|101|9|6|1|6
San Diego|1,379|1,340|978|481|154|91|19|72|161|339|23|17|8|14
San Francisco|7,031|6,578|3,710|1,368|1,226|463|89|149|415|2,697|171|65|90|298
San Jose.|478|452|318|149|67|28|6|27|41|126|8|1|9|16
Santa Ana|201|200|167|85|32|14|1|11|24|31|2|1||
Santa Barbara|260|245|194|116|29|18|1|12|18|47|4|1|4|10
Santa Cruz|208|206|149|75|21|17|3|9|24|56|1|1||1
Santa Monica|279|274|200|100|23|13|8|19|37|67|7|5||
Stockton|617|516|368|170|62|30|7|33|66|131|17|7|40|54
Vallejo|238|231|169|65|21|14|4|6|59|57|5|5||2
Venice|86|85|66|29|3|7|5|7|15|16|3||1|
COLORADO.||||||||||||||
Boulder|195|191|162|108|15|14|1|9|15|24|5|4||
Colorado Springs|608|571|475|277|52|34|8|37|67|87|9|34||3
Denver|3,715|3,566|2,614|1,230|420|206|60|210|488|827|125|128|14|7
Greeley|159|157|128|67|12|11|3|14|21|28|1||2|
Pueblo|614|582|447|205|119|29|11|42|41|105|30|31|1|
Trinidad|214|208|162|100|20|13|5|6|18|38|8|6||
CONNECTICUT.||||||||||||||
Ansonia|144|137|87|23|51|8|1|1|3|50||7||
Bridgeport|,503|1,468|977|364|435|106|10|25|37|484|7|33||2
Bristol|170|169|128|48|56|14|1|3|6|37|4|1||
Danbury town|340|335|248|118|61|16|5|17|31|83|4|5||
Derby|153|149|96|36|47|7|1|2|3|52|1|4||
East Hartford town|86|85|54|36|10|1|1|3|3|31||1||
Enfield town|112|112|84|24|48|9||2|1|28||||
Fairfield town|84|84|54|25|19|2|2|2|4|30||||
Greenwich town|264|253|187|93|65|20|1|2|6|64|2|11||
Hartford|1,828|1,729|1,159|479|422|115|15|54|74|559|11|96||3
Manchester town|150|149|88|40|33|7||3|5|61||1||
Meriden town|410|407|264|115|95|20|2|13|19|141|2|3||
Middletown town *|470|465|295|123|103|26|6|14|23|162|8|5||
Milford town|127|125|95|65|13|8||5|4|30||2||
Naugatuck|102|101|65|30|23|5|1|4|2|36||1||
New Britain|553|548|356|105|209|27|3|4|8|187|5|4||1
New Haven|1,933|1,853|1,189|426|531|98|10|50|74|647|17|79||1
New London|356|345|239|129|62|18|2|8|20|101|5|10||1
Norwalk|378|367|266|164|58|21|4|11|8|99|2|11||
Norwich town|478|464|311|-138|122|25|1|10|15|151|2|14||
Orange town|263|252|185|65|27|19|3|12|59|65|2|11||
Stamford town|542|516|362|158|141|36|2|12|13|148|6|26||
Stonington town|102|101|77|46|20|3||4|4|23|1|1||
Stratford town|99|95|76|42|26|4||3|1|19||4||
Torrington town|184|182|118|44|45|11|1|6|11|64||2||
Wallingford town|126|126|83|42|24|6||6|5|42|1|||
Waterbury|931|917|580|220|284|39|3|12|22|334|3|14||
Windham town|231|230|152|67|51|10|1|6|17|75|3|1||
DELAWARE.||||||||||||||
Wilmington|1,361|1,166|936|571|211|76|5|29|44|229|1|195||
DISTRICT OF COLUMBIA.||||||||||||||
Washington|6,055|3,965|3,250|1,928|342|199|28|141|612|550|165|2,080||10
FLORIDA.||||||||||||||
Jacksonville|,463|640|563|371|37|24|4|55|72|65|12|821|2|
Key West|265|175|94|36|27|20|1|3|7|79|2|90||
Miami|525|308|236|142|15|21|3|23|32|48|24|217||
Pensacola|409|229|192|111|12|12||12|45|28|9|180||
St. Petersburg|267|206|167|87|15|7|5|28|25|30|9|61||
Tampa|695|471|328|187|55|28|2|21|35|130|13|223||1

||||||WHITE.||||||||
||||||Native.||||||||
REGISTRATION AREA.|All deaths.|||||One foreign the|parent born, other-|Parentage unknown.|||Nativ-|Negro.|Japa- nese.|Other col- ored.
||Total.|Total.|Both parents native.|Both parents foreign born.|Native.|Un- known.|One parent un- known, the other native.|Both parents un- known.|Foreign born.|ity un- known.|||
REGISTRATION CITIES-Continued. GEORGIA.||||||||||||||
Atlanta|3,078|1,753|1,660|1,328|43|38|8|164|79|81|12|1,323||2
Augusta|947|428|404|338|14|11|1|16|24|15|9|518||1
Brunswick|149|50|46|39||2|1|4||3|1|99||
Savannah|1,765|612|520|348|38|21|9|45|59|84|8|1,153||
ILLINOIS.||||||||||||||
Alton|260|240|190|106|27|14|10|13|20|47|3|20||
Aurora|493|477|332|166|97|40|3|6|20|135|10|16||
Belleville|317|314|229|129|69|21|6|1|3|84|1|3||
Berwyn|126|126|66|24|31|5|1|2|3|60||||
Bloomington|430|408|325|196|60|13|3|20|33|75|8|22||
Blue Island|178|177|117|44|46|14|2|5|6|60||1||
Cairo|235|156|145|95|8|7|4|13|18|8|3|79||
Canton|160|155|143|112|14|3|1|7|6|12||5||
Centralia|148|127|112|76|9|5||11|11|11|4|21||
Champaign|203|187|165|123|8|8|1|12|13|20|2|16||
Chicago|30,819|28,709|16,853|5,482|7,760|1,989|252|421|949|11,518|338|2,059|3|48
Chicago Heights|205|199|137|36|80|14|1|1|5|62||5||1
Cicero|321|321|185|49|104|26|1|1|4|135|1|||
Danville|531|499|430|288|43|17|4|35|43|63|6|32||
Decatur|601|585|507|350|45|26|6|30|50|65|13|15||1
